id	fastbaps
21242_3#114	10
25818_3#311	10
25818_3#249	10
25825_2#144	10
17966_3#34	10
25818_2#257	10
21242_3#38	10
25818_3#290	10
25818_3#279	10
25818_2#218	10
21242_3#148	10
25818_2#212	10
21242_4#48	10
21242_3#139	10
17966_3#22	10
21242_3#53	10
25818_2#224	10
21242_4#10	10
25818_2#310	10
25818_2#303	10
25818_2#42	10
25818_2#322	10
25825_2#191	10
17966_3#30	10
25825_2#7	10
25818_2#171	10
25818_3#267	10
25818_3#316	10
25818_2#14	10
25818_3#254	10
25818_3#367	10
25818_2#206	10
21242_3#76	10
25818_2#234	10
21242_4#125	10
25825_2#172	10
25818_3#246	10
25825_2#100	10
25818_2#47	10
25825_2#97	18
21242_4#14	18
17966_3#27	18
21242_4#89	18
25818_3#252	19
25825_2#175	19
25818_3#382	19
25825_2#32	19
21242_3#16	19
21242_3#15	19
21242_3#18	19
21242_3#166	19
21242_3#165	19
21242_4#69	19
25818_3#269	19
25818_2#43	19
25818_3#364	19
25818_3#233	19
25818_3#235	19
21242_3#59	19
21242_4#126	19
25825_2#90	19
25818_2#279	19
25818_2#254	19
25818_2#46	19
25818_3#285	19
25818_3#284	19
21242_4#91	19
25825_2#138	19
25818_2#251	19
25818_2#24	19
21242_4#36	19
21242_3#34	19
21242_4#74	19
21242_4#86	19
25825_2#182	19
25818_3#360	19
25825_2#78	19
25818_3#377	19
21242_3#168	19
25818_3#315	19
25825_2#167	19
25818_3#357	19
21242_3#4	19
25818_2#198	19
25818_2#197	19
21242_4#17	19
21242_4#19	19
21242_4#60	19
21242_3#43	19
21242_4#54	19
25818_2#240	19
25818_2#220	19
21242_3#82	19
25818_3#296	19
25818_3#309	19
25818_3#366	19
25818_2#306	19
25818_2#20	19
25818_2#21	19
25818_3#227	19
25825_2#187	19
21242_3#97	19
25818_3#307	19
25825_2#65	19
25818_3#237	19
21485_4#28	19
25818_2#270	19
21242_4#72	19
25825_2#158	19
25825_2#162	19
21242_3#33	19
21242_4#78	19
25825_2#170	19
21242_3#123	19
21242_3#113	19
21242_4#24	19
25818_2#203	19
25825_2#39	19
25825_2#15	19
25825_2#80	19
25818_2#26	19
25818_3#313	19
21485_4#35	19
25818_3#242	19
25825_2#111	19
25825_2#72	19
25825_2#157	19
25825_2#46	19
21242_3#178	19
21242_4#61	19
21485_4#12	19
25818_3#256	19
25818_2#293	19
21242_3#77	19
25818_3#253	19
25825_2#176	19
25818_3#310	19
21242_4#59	19
25818_3#223	19
25818_3#356	19
25825_2#189	19
21242_4#7	15
25818_2#271	15
25825_2#154	15
21242_3#134	15
25818_3#236	15
21242_4#98	15
21242_4#109	15
25818_3#270	15
25818_2#287	15
25818_3#312	15
25825_2#45	15
25818_2#11	15
25818_3#352	15
25825_2#98	15
25818_3#363	15
21242_3#173	15
21242_3#95	15
21242_3#182	15
25825_2#178	15
25818_2#40	15
21242_3#58	15
25818_2#37	15
25818_2#32	15
21242_4#84	15
25818_2#315	15
25825_2#113	15
25818_3#303	15
25818_2#323	15
25818_3#373	15
25825_2#68	15
25825_2#29	15
25818_3#333	15
25818_3#341	15
21242_3#119	15
25825_2#75	15
25818_3#343	15
25818_3#286	15
25825_2#153	15
25818_2#205	15
21242_3#36	15
21242_3#142	15
21242_4#106	15
25818_2#244	15
25818_2#280	15
25818_3#225	15
25825_2#117	15
21242_3#161	15
21242_3#124	15
25825_2#81	15
25818_3#320	15
21242_4#128	15
21242_3#116	15
25818_3#319	15
25818_3#336	15
25818_3#297	15
25825_2#30	15
21242_4#130	15
17966_3#52	15
21242_3#135	15
25818_2#282	15
25825_2#183	15
21242_3#80	15
21242_3#79	15
17966_3#25	15
21242_4#55	15
21242_3#163	15
25825_2#42	15
25818_3#261	15
25818_3#304	15
25818_3#339	15
25825_2#26	15
25825_2#27	15
25818_2#258	15
21242_4#49	15
21242_3#87	15
21242_4#4	15
25825_2#20	15
25818_2#173	15
25825_2#25	15
25818_2#200	15
25825_2#119	15
25825_2#76	15
25825_2#116	15
25818_2#291	15
25818_2#317	15
25818_2#292	15
25818_2#319	15
21242_4#90	15
21242_3#177	15
21242_4#108	15
25825_2#142	15
25818_2#252	15
25818_3#245	15
25818_2#289	15
25818_3#325	15
21242_3#21	15
25818_2#193	15
21242_4#46	15
21242_3#151	15
21485_4#36	15
25818_2#295	15
25825_2#109	15
21242_3#60	15
25818_3#229	15
21242_3#183	15
25818_2#300	15
25825_2#149	15
21242_4#52	15
25818_2#316	15
21242_3#26	15
25818_3#328	15
25818_2#320	15
25825_2#38	15
21242_3#57	15
25818_3#371	15
25825_2#19	15
25818_2#22	15
25825_2#107	15
25818_2#175	15
25818_2#299	15
25818_2#281	15
21485_4#25	15
25818_3#327	15
21485_4#29	15
25818_3#301	15
25818_3#300	15
25818_2#30	15
25818_3#326	15
25818_3#345	15
25825_2#28	15
21242_3#88	15
25818_3#330	15
25825_2#47	15
25818_3#348	15
21485_4#22	15
25818_2#288	15
25818_3#248	15
25818_2#227	15
25825_2#102	15
25818_2#318	15
21242_3#62	15
21242_3#9	15
25825_2#145	15
21242_4#96	15
21242_4#82	15
25825_2#140	15
21242_4#30	15
25818_2#313	15
25818_2#191	15
25825_2#2	15
21242_4#107	15
25818_3#299	15
25818_3#257	15
25825_2#136	15
25825_2#137	15
25818_2#201	15
21242_4#20	15
25818_2#269	15
25818_2#268	15
25818_3#273	15
25818_3#376	15
25825_2#160	15
25825_2#150	15
25825_2#67	15
25825_2#49	15
25818_3#283	15
25825_2#70	15
21485_4#38	15
25818_3#332	15
21242_3#147	15
17966_3#11	15
21242_3#157	15
21242_3#140	15
21242_3#145	15
21242_3#112	24
25825_2#59	24
